donor,recipient,purpose,amount
Germany,Poland,Air transport,0.0
Germany,Poland,Rail transport,0.0
Germany,Poland,Industrial development,0.0
Germany,Poland,Power generation/non-renewable sources,0.0
Germany,Poland,RESCHEDULING AND REFINANCING,13905028436.0
Germany,South Africa,Air transport,0.0
Germany,South Africa,Rail transport,0.0
Germany,South Africa,Industrial development,937574.0
Germany,South Africa,Power generation/non-renewable sources,0.0
Germany,South Africa,RESCHEDULING AND REFINANCING,0.0
Germany,Kuwait,Air transport,0.0
Germany,Kuwait,Rail transport,0.0
Germany,Kuwait,Industrial development,0.0
Germany,Kuwait,Power generation/non-renewable sources,0.0
Germany,Kuwait,RESCHEDULING AND REFINANCING,0.0
Germany,Chile,Air transport,0.0
Germany,Chile,Rail transport,0.0
Germany,Chile,Industrial development,12253925.0
Germany,Chile,Power generation/non-renewable sources,0.0
Germany,Chile,RESCHEDULING AND REFINANCING,0.0
Germany,Saudi Arabia,Air transport,0.0
Germany,Saudi Arabia,Rail transport,0.0
Germany,Saudi Arabia,Industrial development,0.0
Germany,Saudi Arabia,Power generation/non-renewable sources,0.0
Germany,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
United Kingdom,India,Air transport,226060281.0
United Kingdom,India,Rail transport,214915085.0
United Kingdom,India,Industrial development,141881911.0
United Kingdom,India,Power generation/non-renewable sources,621381168.0
United Kingdom,India,RESCHEDULING AND REFINANCING,0.0
United Kingdom,Thailand,Air transport,0.0
United Kingdom,Thailand,Rail transport,12874688.0
United Kingdom,Thailand,Industrial development,123175026.0
United Kingdom,Thailand,Power generation/non-renewable sources,0.0
United Kingdom,Thailand,RESCHEDULING AND REFINANCING,0.0
United Kingdom,Brazil,Air transport,0.0
United Kingdom,Brazil,Rail transport,0.0
United Kingdom,Brazil,Industrial development,39174808.0
United Kingdom,Brazil,Power generation/non-renewable sources,98816805.0
United Kingdom,Brazil,RESCHEDULING AND REFINANCING,0.0
United Kingdom,Colombia,Air transport,0.0
United Kingdom,Colombia,Rail transport,0.0
United Kingdom,Colombia,Industrial development,1214104.0
United Kingdom,Colombia,Power generation/non-renewable sources,10098161.0
United Kingdom,Colombia,RESCHEDULING AND REFINANCING,0.0
United Kingdom,Korea,Air transport,0.0
United Kingdom,Korea,Rail transport,0.0
United Kingdom,Korea,Industrial development,0.0
United Kingdom,Korea,Power generation/non-renewable sources,0.0
United Kingdom,Korea,RESCHEDULING AND REFINANCING,0.0
United Kingdom,Poland,Air transport,2702617.0
United Kingdom,Poland,Rail transport,411633.0
United Kingdom,Poland,Industrial development,37674165.0
United Kingdom,Poland,Power generation/non-renewable sources,0.0
United Kingdom,Poland,RESCHEDULING AND REFINANCING,0.0
United Kingdom,South Africa,Air transport,0.0
United Kingdom,South Africa,Rail transport,0.0
United Kingdom,South Africa,Industrial development,29567081.0
United Kingdom,South Africa,Power generation/non-renewable sources,68659652.0
United Kingdom,South Africa,RESCHEDULING AND REFINANCING,0.0
United Kingdom,Kuwait,Air transport,0.0
United Kingdom,Kuwait,Rail transport,0.0
United Kingdom,Kuwait,Industrial development,0.0
United Kingdom,Kuwait,Power generation/non-renewable sources,0.0
United Kingdom,Kuwait,RESCHEDULING AND REFINANCING,0.0
United Kingdom,Chile,Air transport,0.0
United Kingdom,Chile,Rail transport,0.0
United Kingdom,Chile,Industrial development,0.0
United Kingdom,Chile,Power generation/non-renewable sources,0.0
United Kingdom,Chile,RESCHEDULING AND REFINANCING,0.0
United Kingdom,Saudi Arabia,Air transport,0.0
United Kingdom,Saudi Arabia,Rail transport,0.0
United Kingdom,Saudi Arabia,Industrial development,0.0
United Kingdom,Saudi Arabia,Power generation/non-renewable sources,0.0
United Kingdom,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
France,India,Air transport,93048552.0
France,India,Rail transport,165780050.0
France,India,Industrial development,736412685.0
France,India,Power generation/non-renewable sources,238543251.0
France,India,RESCHEDULING AND REFINANCING,0.0
France,Thailand,Air transport,638493.0
France,Thailand,Rail transport,109211256.0
France,Thailand,Industrial development,23981834.0
France,Thailand,Power generation/non-renewable sources,9766637.0
France,Thailand,RESCHEDULING AND REFINANCING,0.0
France,Brazil,Air transport,0.0
France,Brazil,Rail transport,111245166.0
France,Brazil,Industrial development,0.0
France,Brazil,Power generation/non-renewable sources,0.0
France,Brazil,RESCHEDULING AND REFINANCING,0.0
France,Colombia,Air transport,19509180.0
France,Colombia,Rail transport,187097740.0
France,Colombia,Industrial development,11935741.0
France,Colombia,Power generation/non-renewable sources,0.0
France,Colombia,RESCHEDULING AND REFINANCING,0.0
France,Korea,Air transport,0.0
France,Korea,Rail transport,22092.0
France,Korea,Industrial development,28328996.0
France,Korea,Power generation/non-renewable sources,0.0
France,Korea,RESCHEDULING AND REFINANCING,0.0
France,Poland,Air transport,0.0
France,Poland,Rail transport,1262932.0
France,Poland,Industrial development,2174876.0
France,Poland,Power generation/non-renewable sources,0.0
France,Poland,RESCHEDULING AND REFINANCING,0.0
France,South Africa,Air transport,2331311.0
France,South Africa,Rail transport,1034209.0
France,South Africa,Industrial development,0.0
France,South Africa,Power generation/non-renewable sources,0.0
France,South Africa,RESCHEDULING AND REFINANCING,0.0
France,Kuwait,Air transport,0.0
France,Kuwait,Rail transport,0.0
France,Kuwait,Industrial development,0.0
France,Kuwait,Power generation/non-renewable sources,0.0
France,Kuwait,RESCHEDULING AND REFINANCING,0.0
France,Chile,Air transport,859097.0
France,Chile,Rail transport,138444885.0
France,Chile,Industrial development,524894.0
France,Chile,Power generation/non-renewable sources,0.0
France,Chile,RESCHEDULING AND REFINANCING,0.0
France,Saudi Arabia,Air transport,0.0
France,Saudi Arabia,Rail transport,0.0
France,Saudi Arabia,Industrial development,0.0
France,Saudi Arabia,Power generation/non-renewable sources,0.0
France,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Netherlands,India,Air transport,704628.0
Netherlands,India,Rail transport,42065271.0
Netherlands,India,Industrial development,50767936.0
Netherlands,India,Power generation/non-renewable sources,724396.0
Netherlands,India,RESCHEDULING AND REFINANCING,0.0
Netherlands,Thailand,Air transport,0.0
Netherlands,Thailand,Rail transport,0.0
Netherlands,Thailand,Industrial development,13813129.0
Netherlands,Thailand,Power generation/non-renewable sources,0.0
Netherlands,Thailand,RESCHEDULING AND REFINANCING,0.0
Netherlands,Brazil,Air transport,0.0
Netherlands,Brazil,Rail transport,0.0
Netherlands,Brazil,Industrial development,0.0
Netherlands,Brazil,Power generation/non-renewable sources,0.0
Netherlands,Brazil,RESCHEDULING AND REFINANCING,0.0
Netherlands,Colombia,Air transport,0.0
Netherlands,Colombia,Rail transport,0.0
Netherlands,Colombia,Industrial development,2025344.0
Netherlands,Colombia,Power generation/non-renewable sources,0.0
Netherlands,Colombia,RESCHEDULING AND REFINANCING,0.0
Netherlands,Korea,Air transport,0.0
Netherlands,Korea,Rail transport,0.0
Netherlands,Korea,Industrial development,0.0
Netherlands,Korea,Power generation/non-renewable sources,0.0
Netherlands,Korea,RESCHEDULING AND REFINANCING,0.0
Netherlands,Poland,Air transport,0.0
Netherlands,Poland,Rail transport,0.0
Netherlands,Poland,Industrial development,0.0
Netherlands,Poland,Power generation/non-renewable sources,0.0
Netherlands,Poland,RESCHEDULING AND REFINANCING,0.0
Netherlands,South Africa,Air transport,0.0
Netherlands,South Africa,Rail transport,0.0
Netherlands,South Africa,Industrial development,1380782.0
Netherlands,South Africa,Power generation/non-renewable sources,0.0
Netherlands,South Africa,RESCHEDULING AND REFINANCING,0.0
Netherlands,Kuwait,Air transport,0.0
Netherlands,Kuwait,Rail transport,0.0
Netherlands,Kuwait,Industrial development,0.0
Netherlands,Kuwait,Power generation/non-renewable sources,0.0
Netherlands,Kuwait,RESCHEDULING AND REFINANCING,0.0
Netherlands,Chile,Air transport,0.0
Netherlands,Chile,Rail transport,0.0
Netherlands,Chile,Industrial development,0.0
Netherlands,Chile,Power generation/non-renewable sources,0.0
Netherlands,Chile,RESCHEDULING AND REFINANCING,0.0
Netherlands,Saudi Arabia,Air transport,0.0
Netherlands,Saudi Arabia,Rail transport,0.0
Netherlands,Saudi Arabia,Industrial development,0.0
Netherlands,Saudi Arabia,Power generation/non-renewable sources,0.0
Netherlands,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Canada,India,Air transport,14224407.0
Canada,India,Rail transport,159410.0
Canada,India,Industrial development,54685827.0
Canada,India,Power generation/non-renewable sources,19357050.0
Canada,India,RESCHEDULING AND REFINANCING,0.0
Canada,Thailand,Air transport,443224.0
Canada,Thailand,Rail transport,0.0
Canada,Thailand,Industrial development,70008809.0
Canada,Thailand,Power generation/non-renewable sources,26416174.0
Canada,Thailand,RESCHEDULING AND REFINANCING,0.0
Canada,Brazil,Air transport,0.0
Canada,Brazil,Rail transport,17693.0
Canada,Brazil,Industrial development,29748658.0
Canada,Brazil,Power generation/non-renewable sources,6054352.0
Canada,Brazil,RESCHEDULING AND REFINANCING,0.0
Canada,Colombia,Air transport,0.0
Canada,Colombia,Rail transport,0.0
Canada,Colombia,Industrial development,23245209.0
Canada,Colombia,Power generation/non-renewable sources,0.0
Canada,Colombia,RESCHEDULING AND REFINANCING,0.0
Canada,Korea,Air transport,0.0
Canada,Korea,Rail transport,0.0
Canada,Korea,Industrial development,0.0
Canada,Korea,Power generation/non-renewable sources,0.0
Canada,Korea,RESCHEDULING AND REFINANCING,0.0
Canada,Poland,Air transport,1476778.0
Canada,Poland,Rail transport,0.0
Canada,Poland,Industrial development,3662485.0
Canada,Poland,Power generation/non-renewable sources,56107.0
Canada,Poland,RESCHEDULING AND REFINANCING,0.0
Canada,South Africa,Air transport,0.0
Canada,South Africa,Rail transport,0.0
Canada,South Africa,Industrial development,26700909.0
Canada,South Africa,Power generation/non-renewable sources,0.0
Canada,South Africa,RESCHEDULING AND REFINANCING,0.0
Canada,Kuwait,Air transport,0.0
Canada,Kuwait,Rail transport,0.0
Canada,Kuwait,Industrial development,0.0
Canada,Kuwait,Power generation/non-renewable sources,0.0
Canada,Kuwait,RESCHEDULING AND REFINANCING,0.0
Canada,Chile,Air transport,0.0
Canada,Chile,Rail transport,0.0
Canada,Chile,Industrial development,18676468.0
Canada,Chile,Power generation/non-renewable sources,0.0
Canada,Chile,RESCHEDULING AND REFINANCING,0.0
Canada,Saudi Arabia,Air transport,0.0
Canada,Saudi Arabia,Rail transport,0.0
Canada,Saudi Arabia,Industrial development,0.0
Canada,Saudi Arabia,Power generation/non-renewable sources,0.0
Canada,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Sweden,India,Air transport,0.0
Sweden,India,Rail transport,4306879.0
Sweden,India,Industrial development,12572753.0
Sweden,India,Power generation/non-renewable sources,26060699.0
Sweden,India,RESCHEDULING AND REFINANCING,0.0
Sweden,Thailand,Air transport,0.0
Sweden,Thailand,Rail transport,0.0
Sweden,Thailand,Industrial development,13259316.0
Sweden,Thailand,Power generation/non-renewable sources,0.0
Sweden,Thailand,RESCHEDULING AND REFINANCING,0.0
Sweden,Brazil,Air transport,0.0
Sweden,Brazil,Rail transport,0.0
Sweden,Brazil,Industrial development,0.0
Sweden,Brazil,Power generation/non-renewable sources,0.0
Sweden,Brazil,RESCHEDULING AND REFINANCING,0.0
Sweden,Colombia,Air transport,0.0
Sweden,Colombia,Rail transport,0.0
Sweden,Colombia,Industrial development,0.0
Sweden,Colombia,Power generation/non-renewable sources,0.0
Sweden,Colombia,RESCHEDULING AND REFINANCING,0.0
Sweden,Korea,Air transport,0.0
Sweden,Korea,Rail transport,0.0
Sweden,Korea,Industrial development,0.0
Sweden,Korea,Power generation/non-renewable sources,0.0
Sweden,Korea,RESCHEDULING AND REFINANCING,0.0
Sweden,Poland,Air transport,250129.0
Sweden,Poland,Rail transport,383.0
Sweden,Poland,Industrial development,589007.0
Sweden,Poland,Power generation/non-renewable sources,0.0
Sweden,Poland,RESCHEDULING AND REFINANCING,0.0
Sweden,South Africa,Air transport,0.0
Sweden,South Africa,Rail transport,0.0
Sweden,South Africa,Industrial development,1198432.0
Sweden,South Africa,Power generation/non-renewable sources,64374.0
Sweden,South Africa,RESCHEDULING AND REFINANCING,0.0
Sweden,Kuwait,Air transport,0.0
Sweden,Kuwait,Rail transport,0.0
Sweden,Kuwait,Industrial development,0.0
Sweden,Kuwait,Power generation/non-renewable sources,0.0
Sweden,Kuwait,RESCHEDULING AND REFINANCING,0.0
Sweden,Chile,Air transport,0.0
Sweden,Chile,Rail transport,0.0
Sweden,Chile,Industrial development,1084383.0
Sweden,Chile,Power generation/non-renewable sources,0.0
Sweden,Chile,RESCHEDULING AND REFINANCING,0.0
Sweden,Saudi Arabia,Air transport,0.0
Sweden,Saudi Arabia,Rail transport,0.0
Sweden,Saudi Arabia,Industrial development,0.0
Sweden,Saudi Arabia,Power generation/non-renewable sources,0.0
Sweden,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Norway,India,Air transport,2316419.0
Norway,India,Rail transport,0.0
Norway,India,Industrial development,160646315.0
Norway,India,Power generation/non-renewable sources,322.0
Norway,India,RESCHEDULING AND REFINANCING,0.0
Norway,Thailand,Air transport,60502.0
Norway,Thailand,Rail transport,0.0
Norway,Thailand,Industrial development,6304303.0
Norway,Thailand,Power generation/non-renewable sources,0.0
Norway,Thailand,RESCHEDULING AND REFINANCING,0.0
Norway,Brazil,Air transport,0.0
Norway,Brazil,Rail transport,0.0
Norway,Brazil,Industrial development,80831.0
Norway,Brazil,Power generation/non-renewable sources,0.0
Norway,Brazil,RESCHEDULING AND REFINANCING,0.0
Norway,Colombia,Air transport,0.0
Norway,Colombia,Rail transport,0.0
Norway,Colombia,Industrial development,0.0
Norway,Colombia,Power generation/non-renewable sources,0.0
Norway,Colombia,RESCHEDULING AND REFINANCING,0.0
Norway,Korea,Air transport,0.0
Norway,Korea,Rail transport,0.0
Norway,Korea,Industrial development,0.0
Norway,Korea,Power generation/non-renewable sources,0.0
Norway,Korea,RESCHEDULING AND REFINANCING,0.0
Norway,Poland,Air transport,0.0
Norway,Poland,Rail transport,0.0
Norway,Poland,Industrial development,0.0
Norway,Poland,Power generation/non-renewable sources,0.0
Norway,Poland,RESCHEDULING AND REFINANCING,0.0
Norway,South Africa,Air transport,13527.0
Norway,South Africa,Rail transport,24172.0
Norway,South Africa,Industrial development,15424548.0
Norway,South Africa,Power generation/non-renewable sources,13640.0
Norway,South Africa,RESCHEDULING AND REFINANCING,0.0
Norway,Kuwait,Air transport,0.0
Norway,Kuwait,Rail transport,0.0
Norway,Kuwait,Industrial development,0.0
Norway,Kuwait,Power generation/non-renewable sources,0.0
Norway,Kuwait,RESCHEDULING AND REFINANCING,0.0
Norway,Chile,Air transport,0.0
Norway,Chile,Rail transport,0.0
Norway,Chile,Industrial development,392917.0
Norway,Chile,Power generation/non-renewable sources,0.0
Norway,Chile,RESCHEDULING AND REFINANCING,0.0
Norway,Saudi Arabia,Air transport,0.0
Norway,Saudi Arabia,Rail transport,0.0
Norway,Saudi Arabia,Industrial development,0.0
Norway,Saudi Arabia,Power generation/non-renewable sources,0.0
Norway,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Italy,India,Air transport,0.0
Italy,India,Rail transport,0.0
Italy,India,Industrial development,254284699.0
Italy,India,Power generation/non-renewable sources,0.0
Italy,India,RESCHEDULING AND REFINANCING,0.0
Italy,Thailand,Air transport,0.0
Italy,Thailand,Rail transport,1488852.0
Italy,Thailand,Industrial development,0.0
Italy,Thailand,Power generation/non-renewable sources,0.0
Italy,Thailand,RESCHEDULING AND REFINANCING,0.0
Italy,Brazil,Air transport,0.0
Italy,Brazil,Rail transport,0.0
Italy,Brazil,Industrial development,780657.0
Italy,Brazil,Power generation/non-renewable sources,15677.0
Italy,Brazil,RESCHEDULING AND REFINANCING,0.0
Italy,Colombia,Air transport,12425310.0
Italy,Colombia,Rail transport,0.0
Italy,Colombia,Industrial development,8956908.0
Italy,Colombia,Power generation/non-renewable sources,30399251.0
Italy,Colombia,RESCHEDULING AND REFINANCING,0.0
Italy,Korea,Air transport,0.0
Italy,Korea,Rail transport,0.0
Italy,Korea,Industrial development,0.0
Italy,Korea,Power generation/non-renewable sources,0.0
Italy,Korea,RESCHEDULING AND REFINANCING,0.0
Italy,Poland,Air transport,0.0
Italy,Poland,Rail transport,1342614.0
Italy,Poland,Industrial development,5914647.0
Italy,Poland,Power generation/non-renewable sources,0.0
Italy,Poland,RESCHEDULING AND REFINANCING,0.0
Italy,South Africa,Air transport,0.0
Italy,South Africa,Rail transport,0.0
Italy,South Africa,Industrial development,0.0
Italy,South Africa,Power generation/non-renewable sources,0.0
Italy,South Africa,RESCHEDULING AND REFINANCING,0.0
Italy,Kuwait,Air transport,0.0
Italy,Kuwait,Rail transport,0.0
Italy,Kuwait,Industrial development,0.0
Italy,Kuwait,Power generation/non-renewable sources,0.0
Italy,Kuwait,RESCHEDULING AND REFINANCING,0.0
Italy,Chile,Air transport,0.0
Italy,Chile,Rail transport,0.0
Italy,Chile,Industrial development,569118.0
Italy,Chile,Power generation/non-renewable sources,0.0
Italy,Chile,RESCHEDULING AND REFINANCING,0.0
Italy,Saudi Arabia,Air transport,0.0
Italy,Saudi Arabia,Rail transport,0.0
Italy,Saudi Arabia,Industrial development,0.0
Italy,Saudi Arabia,Power generation/non-renewable sources,0.0
Italy,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Denmark,India,Air transport,0.0
Denmark,India,Rail transport,0.0
Denmark,India,Industrial development,160372258.0
Denmark,India,Power generation/non-renewable sources,0.0
Denmark,India,RESCHEDULING AND REFINANCING,0.0
Denmark,Thailand,Air transport,0.0
Denmark,Thailand,Rail transport,5010773.0
Denmark,Thailand,Industrial development,7334447.0
Denmark,Thailand,Power generation/non-renewable sources,593723.0
Denmark,Thailand,RESCHEDULING AND REFINANCING,0.0
Denmark,Brazil,Air transport,0.0
Denmark,Brazil,Rail transport,0.0
Denmark,Brazil,Industrial development,0.0
Denmark,Brazil,Power generation/non-renewable sources,0.0
Denmark,Brazil,RESCHEDULING AND REFINANCING,0.0
Denmark,Colombia,Air transport,0.0
Denmark,Colombia,Rail transport,0.0
Denmark,Colombia,Industrial development,200450.0
Denmark,Colombia,Power generation/non-renewable sources,0.0
Denmark,Colombia,RESCHEDULING AND REFINANCING,0.0
Denmark,Korea,Air transport,0.0
Denmark,Korea,Rail transport,0.0
Denmark,Korea,Industrial development,0.0
Denmark,Korea,Power generation/non-renewable sources,0.0
Denmark,Korea,RESCHEDULING AND REFINANCING,0.0
Denmark,Poland,Air transport,0.0
Denmark,Poland,Rail transport,0.0
Denmark,Poland,Industrial development,0.0
Denmark,Poland,Power generation/non-renewable sources,0.0
Denmark,Poland,RESCHEDULING AND REFINANCING,0.0
Denmark,South Africa,Air transport,0.0
Denmark,South Africa,Rail transport,0.0
Denmark,South Africa,Industrial development,4467244.0
Denmark,South Africa,Power generation/non-renewable sources,0.0
Denmark,South Africa,RESCHEDULING AND REFINANCING,0.0
Denmark,Kuwait,Air transport,0.0
Denmark,Kuwait,Rail transport,0.0
Denmark,Kuwait,Industrial development,0.0
Denmark,Kuwait,Power generation/non-renewable sources,0.0
Denmark,Kuwait,RESCHEDULING AND REFINANCING,0.0
Denmark,Chile,Air transport,0.0
Denmark,Chile,Rail transport,0.0
Denmark,Chile,Industrial development,0.0
Denmark,Chile,Power generation/non-renewable sources,0.0
Denmark,Chile,RESCHEDULING AND REFINANCING,0.0
Denmark,Saudi Arabia,Air transport,0.0
Denmark,Saudi Arabia,Rail transport,0.0
Denmark,Saudi Arabia,Industrial development,0.0
Denmark,Saudi Arabia,Power generation/non-renewable sources,0.0
Denmark,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Switzerland,India,Air transport,0.0
Switzerland,India,Rail transport,0.0
Switzerland,India,Industrial development,76369785.0
Switzerland,India,Power generation/non-renewable sources,0.0
Switzerland,India,RESCHEDULING AND REFINANCING,0.0
Switzerland,Thailand,Air transport,0.0
Switzerland,Thailand,Rail transport,0.0
Switzerland,Thailand,Industrial development,0.0
Switzerland,Thailand,Power generation/non-renewable sources,6063103.0
Switzerland,Thailand,RESCHEDULING AND REFINANCING,0.0
Switzerland,Brazil,Air transport,0.0
Switzerland,Brazil,Rail transport,0.0
Switzerland,Brazil,Industrial development,1034972.0
Switzerland,Brazil,Power generation/non-renewable sources,0.0
Switzerland,Brazil,RESCHEDULING AND REFINANCING,0.0
Switzerland,Colombia,Air transport,0.0
Switzerland,Colombia,Rail transport,0.0
Switzerland,Colombia,Industrial development,743149.0
Switzerland,Colombia,Power generation/non-renewable sources,0.0
Switzerland,Colombia,RESCHEDULING AND REFINANCING,0.0
Switzerland,Korea,Air transport,0.0
Switzerland,Korea,Rail transport,0.0
Switzerland,Korea,Industrial development,0.0
Switzerland,Korea,Power generation/non-renewable sources,0.0
Switzerland,Korea,RESCHEDULING AND REFINANCING,0.0
Switzerland,Poland,Air transport,0.0
Switzerland,Poland,Rail transport,0.0
Switzerland,Poland,Industrial development,0.0
Switzerland,Poland,Power generation/non-renewable sources,0.0
Switzerland,Poland,RESCHEDULING AND REFINANCING,0.0
Switzerland,South Africa,Air transport,0.0
Switzerland,South Africa,Rail transport,0.0
Switzerland,South Africa,Industrial development,2665028.0
Switzerland,South Africa,Power generation/non-renewable sources,0.0
Switzerland,South Africa,RESCHEDULING AND REFINANCING,0.0
Switzerland,Kuwait,Air transport,0.0
Switzerland,Kuwait,Rail transport,0.0
Switzerland,Kuwait,Industrial development,0.0
Switzerland,Kuwait,Power generation/non-renewable sources,0.0
Switzerland,Kuwait,RESCHEDULING AND REFINANCING,0.0
Switzerland,Chile,Air transport,0.0
Switzerland,Chile,Rail transport,0.0
Switzerland,Chile,Industrial development,1984348.0
Switzerland,Chile,Power generation/non-renewable sources,0.0
Switzerland,Chile,RESCHEDULING AND REFINANCING,0.0
Switzerland,Saudi Arabia,Air transport,0.0
Switzerland,Saudi Arabia,Rail transport,0.0
Switzerland,Saudi Arabia,Industrial development,0.0
